StateAbbr,2004+cardiovascular,2004+stroke,2004+obesity,2004+diabetes,2005+cardiovascular,2005+stroke,2005+obesity,2005+diabetes,2006+cardiovascular,2006+stroke,2006+obesity,2006+diabetes,2007+cardiovascular,2007+stroke,2007+obesity,2007+diabetes,2008+cardiovascular,2008+stroke,2008+obesity,2008+diabetes,2009+cardiovascular,2009+stroke,2009+obesity,2009+diabetes,2010+cardiovascular,2010+stroke,2010+obesity,2010+diabetes,2011+cardiovascular,2011+stroke,2011+obesity,2011+diabetes,2012+cardiovascular,2012+stroke,2012+obesity,2012+diabetes,2013+cardiovascular,2013+stroke,2013+obesity,2013+diabetes,2014+cardiovascular,2014+stroke,2014+obesity,2014+diabetes,2015+cardiovascular,2015+stroke,2015+obesity,2015+diabetes,2016+cardiovascular,2016+stroke,2016+obesity,2016+diabetes,2017+cardiovascular,2017+stroke,2017+obesity,2017+diabetes
MI,5,22,24,30,12,38,22,21,16,34,36,31,53,72,49,59,25,68,27,43,27,87,46,60,28,56,29,40,48,75,35,64,51,80,44,52,39,93,56,74,39,72,46,73,47,80,61,77,58,84,51,75,34,95,43,67
OH,11,35,18,32,35,67,13,19,18,22,21,49,30,69,31,62,29,60,19,43,45,37,32,69,48,39,39,50,41,74,38,79,23,72,38,56,38,87,41,77,46,87,37,86,48,66,60,79,39,73,53,76,24,88,43,85
NY,7,18,38,35,19,40,26,22,22,30,38,38,32,50,39,50,21,63,36,44,20,58,51,58,47,42,39,40,40,60,46,66,37,61,81,60,33,63,73,66,41,62,58,71,45,60,73,74,44,65,74,80,37,67,62,82
VA,9,17,34,38,15,37,20,23,24,19,22,40,37,45,36,60,28,56,25,47,30,54,40,68,65,38,35,41,51,59,29,63,59,59,53,69,57,62,54,79,72,62,52,83,78,52,63,79,72,58,57,84,52,67,56,82
TN,5,16,41,38,11,29,15,21,12,20,27,39,34,62,36,58,17,66,23,54,27,61,48,70,59,49,30,46,30,61,32,69,30,64,44,59,26,70,44,66,38,64,40,71,32,59,54,75,39,67,41,73,24,71,41,74
OH,11,13,29,31,18,60,13,19,0,41,25,35,27,58,53,47,13,32,25,38,31,42,57,55,24,28,34,41,29,71,35,55,32,70,78,66,27,62,82,68,47,60,75,89,27,58,52,83,16,59,49,72,29,69,37,73
WV,0,24,67,23,78,63,51,25,28,17,51,49,30,70,35,57,22,76,43,40,21,100,18,43,33,46,19,51,22,69,40,86,26,75,41,64,29,74,45,74,38,72,41,78,41,71,65,89,33,73,57,80,34,81,61,79
NC,8,17,36,39,16,45,22,24,25,22,29,46,38,56,38,59,26,66,30,49,23,58,50,67,47,43,36,42,44,57,43,68,43,59,60,63,40,63,63,70,49,57,58,74,51,53,69,75,49,56,58,78,40,64,58,79
FL,5,14,29,40,12,50,16,22,20,20,18,38,27,52,28,55,20,64,23,47,28,52,35,64,63,41,32,46,49,59,33,68,59,63,53,67,54,69,54,69,60,61,46,71,73,60,59,75,66,65,43,78,52,68,47,76
MI,7,19,46,39,11,45,24,22,20,24,26,37,30,54,38,49,22,60,34,40,17,57,45,55,41,43,40,40,32,58,41,61,30,62,56,56,34,67,56,67,36,61,51,69,42,61,61,70,44,64,48,70,35,72,51,72
WV,5,12,33,39,15,59,24,27,28,30,23,51,50,69,49,71,28,84,43,58,25,55,46,72,54,60,49,50,46,66,51,80,45,67,65,72,32,80,55,72,40,75,42,76,39,70,54,84,41,76,54,89,41,89,58,92
NY,0,28,85,40,18,73,13,26,20,17,29,39,15,72,31,44,9,57,28,32,0,59,37,43,38,40,34,33,22,63,35,66,22,54,57,57,36,66,72,75,29,50,56,63,18,67,60,72,30,70,49,83,13,65,43,68
PA,9,15,26,35,17,43,20,22,20,25,24,40,27,54,25,54,19,57,23,50,23,52,38,64,45,42,32,40,36,59,36,67,40,58,47,63,40,69,53,70,49,66,47,72,52,60,59,73,52,63,47,76,38,68,45,73
SC,6,16,26,37,10,38,17,21,20,21,21,38,24,51,29,49,19,66,27,43,22,54,36,58,42,43,29,39,34,61,32,67,34,64,47,59,30,71,49,69,39,64,49,74,44,55,55,69,39,63,44,76,31,69,48,73
VA,3,17,44,51,11,43,36,22,24,33,44,40,45,78,40,47,26,46,55,46,19,69,72,70,25,34,36,30,35,58,29,74,34,61,66,62,37,71,66,76,23,66,55,66,55,56,73,71,51,62,71,80,30,78,69,74
SC,5,24,43,41,31,44,17,23,20,24,20,47,49,44,39,70,15,51,26,44,25,58,40,62,38,37,43,34,35,51,48,70,25,58,51,60,36,65,57,67,33,63,34,62,24,62,26,61,38,63,42,71,30,70,42,73
FL,6,11,25,21,12,41,13,23,15,25,22,37,33,58,26,51,34,74,16,40,25,52,27,60,43,39,35,36,45,63,29,62,42,70,34,52,38,82,40,64,38,66,28,68,44,68,43,64,46,68,37,72,35,77,42,71
VA,7,16,35,28,9,34,20,19,19,23,33,37,20,51,36,52,21,53,30,41,22,56,49,60,40,40,31,40,43,58,47,67,44,65,58,66,45,69,55,70,16,28,17,34,14,19,17,28,52,63,54,83,45,77,62,80
PA,8,17,60,36,17,45,34,22,12,21,53,32,37,44,41,54,21,66,43,44,26,52,69,61,44,38,41,37,48,63,62,69,51,60,85,61,43,69,82,71,58,69,67,67,53,63,78,68,52,71,72,77,44,75,65,72
TN,3,16,36,39,16,54,18,22,17,23,23,44,30,57,23,52,18,73,26,54,21,69,33,59,41,51,28,46,29,61,30,65,32,58,44,60,36,71,47,63,38,67,36,70,39,59,53,70,38,67,36,75,27,74,49,74
MD,12,14,27,52,18,55,16,24,19,24,28,39,30,57,29,52,15,67,24,52,31,56,54,61,35,38,29,35,36,72,44,79,48,76,62,57,43,79,68,67,58,72,45,78,65,64,67,73,53,66,49,77,43,84,39,72
PA,7,18,41,31,20,50,29,21,20,23,39,37,24,57,41,56,17,59,26,42,18,63,47,61,33,43,30,38,28,61,35,63,34,62,52,63,33,70,58,68,32,63,42,72,41,62,54,74,39,66,44,78,28,73,50,75
IN,6,25,95,39,21,39,18,20,29,30,34,37,23,56,39,67,19,40,42,50,20,73,79,64,31,45,50,52,40,66,54,90,45,75,71,69,49,71,87,76,34,64,61,74,46,57,74,76,52,68,62,79,35,83,54,73
IN,7,13,78,45,35,40,38,14,39,31,48,37,40,44,70,55,28,45,64,50,39,35,95,53,66,37,68,43,41,57,57,68,40,48,69,57,51,61,100,70,37,41,78,70,70,54,95,72,69,50,71,84,36,59,82,78
MI,0,100,0,100,0,0,0,100,0,100,0,100,0,0,0,0,0,0,0,100,0,0,0,89,0,100,0,100,0,100,0,65,0,63,0,53,0,87,0,70,0,59,0,86,0,94,0,62,0,100,0,79,0,84,0,78
VA,12,19,27,35,17,45,16,22,18,24,24,40,51,64,31,57,23,61,23,52,31,66,33,72,58,42,30,38,46,70,35,73,62,66,60,61,53,73,56,75,74,75,58,76,71,60,68,74,68,67,70,82,55,76,77,82
IN,2,14,28,36,12,45,14,17,9,25,29,32,22,46,33,52,19,52,22,43,19,53,41,63,49,44,36,40,33,54,41,58,42,54,57,58,25,57,57,65,40,55,47,69,53,47,60,68,45,54,54,80,41,69,53,71
FL,11,22,35,51,34,53,28,29,30,33,39,43,64,75,49,74,40,83,45,62,38,89,86,77,86,53,50,43,63,76,67,80,75,70,87,78,71,81,91,80,86,83,81,85,86,74,99,85,97,77,93,95,73,85,94,92
